source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
440.0,96.5,0.0,3.5,0.0,3.5,0.0,8.0,3300.0,7.5,41.833,14.21,7.5e-07,97.19,3.9349,12.719628084722915,629.7872340425532,2.28314,238.0,461,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
441.0,95.0,0.0,5.0,0.0,5.0,0.0,1.98,1700.0,4.67,41.757,13.17,7.9e-07,97.06,4.0489,3.9940113577697467,2120.689655172413,1.3941,641.0,462,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
442.0,95.0,0.0,5.0,0.0,5.0,0.0,4.02,2100.0,4.67,41.757,14.68,7.9e-07,97.06,4.0489,6.910171356502603,1237.28813559322,1.6080999999999999,480.0,463,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
443.0,95.0,0.0,5.0,0.0,5.0,0.0,5.99,2500.0,4.67,41.757,15.92,7.9e-07,97.06,4.0489,9.711457334611698,880.6818181818182,1.832,479.0,464,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
444.0,95.0,0.0,5.0,0.0,5.0,0.0,7.03,2900.0,4.67,41.757,14.65,7.9e-07,97.06,4.0489,10.947174110644868,784.2105263157895,2.0351,365.0,465,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
445.0,95.0,0.0,5.0,0.0,5.0,0.0,7.96,3300.0,4.67,41.757,15.92,7.9e-07,97.06,4.0489,11.833863854266538,716.4948453608248,2.5661000000000005,328.0,466,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
446.0,95.0,0.0,5.0,0.0,5.0,0.0,2.05,1700.0,5.5,41.757,14.95,7.9e-07,97.06,4.0489,4.125314597315437,2065.573770491803,1.2542999999999997,635.0,467,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
447.0,95.0,0.0,5.0,0.0,5.0,0.0,3.99,2100.0,5.5,41.757,15.13,7.9e-07,97.06,4.0489,7.4536912751677855,1144.06779661017,1.4682999999999997,451.0,468,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
448.0,95.0,0.0,5.0,0.0,5.0,0.0,5.99,2500.0,5.5,41.757,15.43,7.9e-07,97.06,4.0489,10.278892747013552,837.9888268156425,1.7523,428.0,469,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
449.0,95.0,0.0,5.0,0.0,5.0,0.0,7.0,2900.0,5.5,41.757,14.08,7.9e-07,97.06,4.0489,10.937200383509108,789.1891891891892,1.8953,310.0,470,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
450.0,95.0,0.0,5.0,0.0,5.0,0.0,8.0,3300.0,5.5,41.757,14.05,7.9e-07,97.06,4.0489,11.92987081798456,698.5645933014354,2.4262999999999995,254.0,471,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
451.0,95.0,0.0,5.0,0.0,5.0,0.0,2.0,1700.0,6.5,41.757,13.87,7.9e-07,97.06,4.0489,4.311482294398708,1966.666666666667,1.1439999999999995,615.0,472,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
452.0,95.0,0.0,5.0,0.0,5.0,0.0,4.04,2100.0,6.5,41.757,14.41,7.9e-07,97.06,4.0489,7.55211212001579,1125.0,1.4405,440.0,473,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
453.0,95.0,0.0,5.0,0.0,5.0,0.0,6.06,2500.0,6.5,41.757,15.43,7.9e-07,97.06,4.0489,10.337661752688103,828.7292817679557,1.5469999999999995,396.0,474,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
454.0,95.0,0.0,5.0,0.0,5.0,0.0,7.04,2900.0,6.5,41.757,15.1,7.9e-07,97.06,4.0489,11.122992569511023,769.2307692307693,1.7849999999999997,382.0,475,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
455.0,95.0,0.0,5.0,0.0,5.0,0.0,8.05,3300.0,6.5,41.757,14.3,7.9e-07,97.06,4.0489,12.233489368901923,696.8325791855204,2.3159999999999994,240.0,476,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
456.0,95.0,0.0,5.0,0.0,5.0,0.0,2.04,1700.0,7.5,41.757,13.6,7.9e-07,97.06,4.0489,4.3054170661553215,1950.0,1.0418499999999993,581.0,477,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
457.0,95.0,0.0,5.0,0.0,5.0,0.0,4.02,2100.0,7.5,41.757,15.88,7.9e-07,97.06,4.0489,7.643667869832496,1123.96694214876,1.2558499999999992,364.0,478,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
458.0,95.0,0.0,5.0,0.0,5.0,0.0,6.0,2500.0,7.5,41.757,16.37,7.9e-07,97.06,4.0489,10.4012723173797,826.8156424581006,1.5154,342.0,479,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
459.0,95.0,0.0,5.0,0.0,5.0,0.0,7.07,2900.0,7.5,41.757,14.08,7.9e-07,97.06,4.0489,11.284556522368348,754.8076923076923,1.6828499999999993,288.0,480,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
460.0,95.0,0.0,5.0,0.0,5.0,0.0,8.09,3300.0,7.5,41.757,15.49,7.9e-07,97.06,4.0489,12.422445244113508,677.1300448430493,2.21385,226.0,481,fuel_composition_not_within_99.99_to_100.01_pct,105.0,,
461.0,90.0,0.0,10.0,0.0,10.0,0.0,2.03,1700.0,4.67,41.72,13.61,7.78e-07,97.2,4.12565,3.968132463002261,2166.666666666667,1.2557999999999998,631.0,482,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
